StockCode,Description,Category,Price
85123A,Red Retrospot Storage Jar,Kitchenware & Dining,26.17
71053D,Ceramic Cherry Blossom Mug,Kitchenware & Dining,97.12
84406B,Vintage Union Jack Cushion Cover,Home Decor & Furnishings,76.3
22045E,Mini Wooden Christmas Tree Decoration,Gifts & Novelty Items,65.93
93207F,Set/4 Heart Shaped Coasters,Storage & Organization,86.72
56321G,Blue Spotty Shopping Bag,Storage & Organization,27.17
78543H,French Blue Enamel Tea Pot,Kitchenware & Dining,50.58
30987I,Birdhouse Design Key Holder,Gifts & Novelty Items,41.69
65432J,Grow Your Own Basil Kit,Garden & Outdoor,2.48
12345K,Garden Swing Metal Sign,Garden & Outdoor,34.37
67890L,Pink Glitter Party Streamers,Jewellery & Accessories,48.83
54321M,Set of 6 Christmas Crackers,Seasonal & Holiday,32.61
98765N,Retro Camera Pencil Sharpener,Stationery & Office,1.32
13579O,Paper Chain Garland Rainbow,Textiles & Linens,50.19
24680P,Strawberry Ceramic Salt & Pepper Set,Kitchenware & Dining,24.19
86420Q,Giant Wooden Game Dice,Kids & Toys,23.8
97531R,Floral Print Fabric Gift Wrap,Unknown Category,87.28
45678S,Black Skull & Crossbone Lunch Box,Travel Accessories,39.38
98765T,Small Antique White Lantern,Home Decor & Furnishings,27.8
54321U,Miniature Metal Wheelbarrow Planter,Unknown Category,45.37
12345V,Set/3 Polka Dot Storage Boxes,Storage & Organization,60.87
67890W,Assorted Colour Glass Buttons,Gifts & Novelty Items,56.63
65432X,Retro Telephone Box Money Bank,Retro & Vintage,3.57
30987Y,Clear Glass Storage Jar with Lid,Unknown Category,70.53
78543Z,Wooden Happy Birthday Bunting,Home Decor & Furnishings,47
56321AA,Knitted Sheep Hot Water Bottle Cover,Unknown Category,6
93207AB,Hand Painted Ceramic Bird Dish,Unknown Category,98.24
22045AC,Silver Plated Photo Frame 5x7,Home Decor & Furnishings,82.01
85123AD,Chalkboard Hanging Kitchen Sign,Wall Art & Signs,65.93
71053AE,Green Retro Metal Dustbin,Unknown Category,58.08
84406AF,Set of 12 Coloured Pencils,Stationery & Office,3.75
13579AG,Gold Star Design Paper Napkins,Gifts & Novelty Items,14.77
24680AH,Large Canvas Storage Basket,Storage & Organization,56.62
86420AI,Vintage Red Radio Clock,Retro & Vintage,14.7
97531AJ,Ceramic Bathroom Set (4 Piece),Bath & Body,49.36
45678AK,White Wooden Love Heart Hook,Home Decor & Furnishings,24.33
98765AL,Paris Themed Gift Bag Large,Unknown Category,32.7
54321AM,Set/5 Enamel Kitchen Utensils,Kitchenware & Dining,12.31
12345AN,Pink Retro Spotty Shower Cap,Bath & Body,21.15
67890AO,Small Glass Water Carafe,Kitchenware & Dining,25.93
65432AP,Rabbit Design Door Stop,Unknown Category,80.11
30987AQ,Antique Style Key Fob,Gifts & Novelty Items,96.8
78543AR,Children's Animal Print Apron,Kids & Toys,30.41
56321AS,Woven Picnic Hamper Basket,Gifts & Novelty Items,66.55
93207AT,Set/3 Retro Wooden Spoons,Unknown Category,16.15
22045AU,Metal Butterfly Garden Ornament,Home Decor & Furnishings,92.65
85123AV,Union Jack Flag Beach Towel,Textiles & Linens,56.35
71053AW,Giant Pencil Eraser Set,Stationery & Office,61.15
84406AX,Orange & Yellow Stripe Throw,Home Decor & Furnishings,89.52
13579AY,Blue Polka Dot Travel Mug,Bath & Body,33.99
24680AZ,Retro Sweet Shop Candy Jar,Retro & Vintage,3.07
86420BA,Miniature Ceramic Toadstool Set,Seasonal & Holiday,69.28
97531BB,Red & White Gingham Tablecloth,Kitchenware & Dining,34.93
45678BC,Set/6 Vintage Wine Labels,Gifts & Novelty Items,85.53
